entry_time,exit_time,direction,strike_price,entry_price_cents,exit_price_cents,bet_size,contracts,pnl_dollars,pnl_pct,exit_reason,momentum_at_entry,confidence_at_entry,edge_at_entry,btc_price_at_entry,hold_candles,peak_pnl_pct
2018-08-21T11:30:00,2018-08-21T11:30:00,NO,6410.31,7.93,11.9,12.5,157,6.2279,50.0,take_profit,-0.1328,0.216,0.5697,6442.52,1,50.0
2018-08-22T04:45:00,2018-08-22T04:45:00,NO,6728.2,50.0,100.0,12.5,25,12.5,100.0,expired,-0.1223,0.216,0.149,6728.2,1,100.0
2018-08-22T04:45:00,2018-08-22T04:45:00,NO,6694.56,31.24,0.0,12.5,40,-12.4948,-100.0,expired,-0.1223,0.216,0.3366,6728.2,1,0.0
2018-08-22T05:15:00,2018-08-22T05:15:00,NO,6753.01,68.58,100.0,12.5,18,5.6562,45.82,expired,-0.4825,0.352,0.0662,6719.41,1,45.82
2018-08-22T05:15:00,2018-08-22T05:15:00,NO,6719.41,50.0,75.0,12.5,25,6.25,50.0,take_profit,-0.4825,0.352,0.252,6719.41,1,50.0
2018-08-22T05:15:00,2018-08-22T05:15:00,NO,6685.81,31.42,47.13,12.5,39,6.1275,50.0,take_profit,-0.4825,0.352,0.4378,6719.41,1,50.0
2018-08-22T22:15:00,2018-08-22T22:15:00,YES,6321.16,21.83,32.74,12.5,57,6.2205,50.0,take_profit,0.3635,0.216,0.4487,6289.71,1,50.0
2018-08-22T22:15:00,2018-08-22T22:15:00,YES,6289.71,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.3635,0.216,0.167,6289.71,1,50.0
2018-08-25T01:45:00,2018-08-25T01:45:00,NO,6719.92,50.0,32.5,18.75,37,-6.475,-35.0,stop_loss,0.0291,0.216,0.105,6719.92,1,0.0
2018-08-25T01:45:00,2018-08-25T01:45:00,NO,6686.32,5.0,0.0,18.75,374,-18.7,-100.0,expired,0.0291,0.216,0.555,6719.92,1,0.0
2018-08-25T03:30:00,2018-08-25T03:30:00,NO,6766.0,50.0,75.0,18.75,37,9.25,50.0,take_profit,-0.3126,0.224,0.172,6766.0,1,50.0
2018-08-25T03:30:00,2018-08-25T03:30:00,NO,6732.17,5.0,7.5,18.75,374,9.35,50.0,take_profit,-0.3126,0.224,0.622,6766.0,1,50.0
2018-08-27T22:30:00,2018-08-27T22:30:00,NO,6730.53,50.0,35.0,9.38,18,-2.7,-30.0,stop_loss,0.0737,0.216,0.105,6730.53,1,0.0
2018-08-27T22:30:00,2018-08-27T22:30:00,NO,6696.88,5.0,0.0,9.38,187,-9.35,-100.0,expired,0.0737,0.216,0.555,6730.53,1,0.0
2018-08-28T08:15:00,2018-08-28T08:15:00,NO,6931.34,50.0,75.0,12.5,25,6.25,50.0,take_profit,-0.1685,0.208,0.13,6931.34,1,50.0
2018-08-28T08:15:00,2018-08-28T08:15:00,NO,6896.68,5.0,7.5,12.5,249,6.225,50.0,take_profit,-0.1685,0.208,0.58,6931.34,1,50.0
2018-08-28T09:00:00,2018-08-28T09:00:00,NO,6920.72,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,-0.1155,0.208,0.13,6920.72,1,0.0
2018-08-28T09:00:00,2018-08-28T09:00:00,NO,6886.12,5.0,0.0,12.5,249,-12.45,-100.0,expired,-0.1155,0.208,0.58,6920.72,1,0.0
2018-08-28T10:45:00,2018-08-28T10:45:00,NO,6922.36,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,0.0445,0.216,0.105,6922.36,1,0.0
2018-08-28T10:45:00,2018-08-28T10:45:00,NO,6887.75,5.0,0.0,12.5,249,-12.45,-100.0,expired,0.0445,0.216,0.555,6922.36,1,0.0
2018-08-29T19:30:00,2018-08-29T19:30:00,YES,7045.67,5.0,7.5,6.25,125,3.125,50.0,take_profit,0.1344,0.272,0.634,7010.62,1,50.0
2018-08-29T19:30:00,2018-08-29T19:30:00,YES,7010.62,50.0,100.0,6.25,12,6.0,100.0,expired,0.1344,0.272,0.184,7010.62,1,100.0
2018-08-31T21:30:00,2018-08-31T21:30:00,NO,7019.03,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,-0.1112,0.216,0.149,7019.03,1,0.0
2018-08-31T21:30:00,2018-08-31T21:30:00,NO,6983.93,5.0,0.0,12.5,249,-12.45,-100.0,expired,-0.1112,0.216,0.599,7019.03,1,0.0
2018-09-01T18:30:00,2018-09-01T18:30:00,NO,7196.01,50.0,100.0,25.0,50,25.0,100.0,expired,-0.1158,0.208,0.13,7196.01,1,100.0
2018-09-01T18:30:00,2018-09-01T18:30:00,NO,7160.03,7.17,10.76,25.0,348,12.4805,50.0,take_profit,-0.1158,0.208,0.5583,7196.01,1,50.0
2018-09-04T17:45:00,2018-09-04T17:45:00,NO,7382.64,50.0,32.5,25.0,50,-8.75,-35.0,stop_loss,-0.0328,0.216,0.105,7382.64,1,0.0
2018-09-04T17:45:00,2018-09-04T17:45:00,NO,7345.73,5.0,0.0,25.0,499,-24.95,-100.0,expired,-0.0328,0.216,0.555,7382.64,1,0.0
2018-09-05T14:15:00,2018-09-05T14:15:00,YES,7065.59,31.73,0.0,25.0,78,-24.7501,-100.0,expired,0.2282,0.208,0.3267,7030.44,1,0.0
2018-09-05T14:15:00,2018-09-05T14:15:00,YES,7030.44,50.0,100.0,25.0,50,25.0,100.0,expired,0.2282,0.208,0.144,7030.44,1,100.0
2018-09-06T04:15:00,2018-09-06T04:15:00,YES,6489.54,34.88,0.0,12.5,35,-12.2067,-100.0,expired,0.127,0.2,0.2762,6457.25,1,0.0
2018-09-06T04:15:00,2018-09-06T04:15:00,YES,6457.25,50.0,0.0,12.5,25,-12.5,-100.0,expired,0.127,0.2,0.125,6457.25,1,0.0
2018-09-06T06:30:00,2018-09-06T06:30:00,YES,6467.2,11.27,16.91,12.5,110,6.1986,50.0,take_profit,0.2435,0.2,0.5123,6435.02,1,50.0
2018-09-06T06:30:00,2018-09-06T06:30:00,YES,6435.02,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,0.2435,0.2,0.125,6435.02,1,0.0
2018-09-06T10:30:00,2018-09-06T10:30:00,YES,6430.75,5.0,0.0,12.5,250,-12.5,-100.0,expired,0.0801,0.208,0.55,6398.76,1,0.0
2018-09-06T10:30:00,2018-09-06T10:30:00,YES,6398.76,50.0,32.5,12.5,25,-4.375,-35.0,stop_loss,0.0801,0.208,0.1,6398.76,1,0.0
2018-10-15T12:00:00,2018-10-15T12:00:00,NO,6982.28,50.0,75.0,3.12,6,1.5,50.0,take_profit,-0.3263,0.28,0.193,6982.28,1,50.0
2018-10-15T12:00:00,2018-10-15T12:00:00,NO,6947.37,32.38,48.57,3.12,9,1.4572,50.0,take_profit,-0.3263,0.28,0.3692,6982.28,1,50.0
2018-10-15T23:00:00,2018-10-15T23:00:00,YES,6756.49,13.97,20.95,12.5,89,6.2158,50.0,take_profit,0.3157,0.216,0.5273,6722.88,1,50.0
2018-10-15T23:00:00,2018-10-15T23:00:00,YES,6722.88,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.3157,0.216,0.167,6722.88,1,50.0
2018-10-16T08:00:00,2018-10-16T08:00:00,NO,6823.32,50.0,72.5,9.38,18,4.05,45.0,take_profit,-0.6095,0.224,0.172,6823.32,1,45.0
2018-10-16T08:00:00,2018-10-16T08:00:00,NO,6789.2,12.92,18.73,9.38,72,4.1854,45.0,take_profit,-0.6095,0.224,0.5428,6823.32,1,45.0
2018-10-19T15:45:00,2018-10-19T15:45:00,YES,6600.24,5.0,0.0,25.0,500,-25.0,-100.0,expired,0.1694,0.208,0.594,6567.4,1,0.0
2018-10-19T15:45:00,2018-10-19T15:45:00,YES,6567.4,50.0,100.0,25.0,50,25.0,100.0,expired,0.1694,0.208,0.144,6567.4,1,100.0
2018-10-31T19:15:00,2018-10-31T19:15:00,NO,6366.12,50.0,100.0,25.0,50,25.0,100.0,expired,0.0229,0.224,0.14,6366.12,1,100.0
2018-10-31T19:15:00,2018-10-31T19:15:00,NO,6334.29,8.63,12.94,25.0,289,12.4645,50.0,take_profit,0.0229,0.224,0.5537,6366.12,1,50.0
